feature,p-value(MWU),stat,p-value(t-test),t_stat,p-value(KST),D-statistic,Cliff's Delta,Size Cliff's
hasParkingSpace,0.0,1733015939.0,0.0,43.46604031800471,0.0,0.1463522064580267,0.1898569251092961,small
hasBalcony,4.830108101376758e-113,1749463374.0,1.282753206232301e-54,15.572977170917099,9.492430349167566e-129,0.07253725390004856,0.07790366760550324,negligible
hasElevator,0.0,1979954491.0,0.0,48.12751955217559,0.0,0.14064808637148513,0.1907997532413743,small
hasSecurity,0.0,909772856.5,0.0,40.936869095718265,0.0,0.20876112234894684,0.26495960988805384,small
hasStorageRoom,0.0,1281537619.5,0.0,-56.241690938594864,0.0,0.16533150434540528,-0.21460509874158012,small
