feature,p-value(MWU),p-value(t-test),t_stat,p-value(KST),D-statistic,Cliff's Delta,Sum_of_rows
hasParkingSpace,1,1,1,1,0.1463522064580267,0.5,4.646352206458027
hasBalcony,1,1,1,1,0.07253725390004856,0.0,4.072537253900048
hasElevator,1,1,1,1,0.14064808637148513,0.5,4.640648086371485
hasSecurity,1,1,1,1,0.20876112234894684,0.5,4.708761122348947
hasStorageRoom,1,1,1,1,0.16533150434540528,0.5,4.6653315043454056
