feature,p-value(MWU),stat,p-value(t-test),t_stat,p-value(KST),D-statistic,Cliff's Delta,Size Cliff's
hasParkingSpace,1.2828389465858122e-22,299195275.5,2.7868657824404767e-10,6.3117075216997085,3.075420028429391e-25,0.04930791484446895,0.05213846167384914,negligible
hasBalcony,1.0388865861225329e-21,287821485.5,1.6074968590365255e-08,5.6509170794982655,3.470332427084546e-20,0.04485936460280779,0.051993526673007065,negligible
hasElevator,6.571432580528037e-222,309862522.0,2.214775480664123e-204,30.67805206876115,1.441997200985975e-165,0.1319515793745294,0.17599353561774336,small
hasSecurity,3.8603775092262015e-72,161206425.0,8.484758387174693e-46,14.28912876099913,4.1370770776120704e-49,0.09766932744024526,0.13542634827913697,negligible
hasStorageRoom,8.005845557766177e-62,115296198.0,8.806222206404267e-25,-10.311164660230622,3.5207710356273145e-53,0.1052430892388454,-0.12951539003177318,negligible
